movieId,title,genres,clean_title,rating_count,rating_mean,rating_std,user_tags,combined_features,rating_count_norm,rating_mean_norm,popularity_score
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,215.0,3.92,0.83,fun|pixar,Adventure|Animation|Children|Comedy|Fantasy|fun|pixar,0.6524390243902439,0.76,0.727731707317073
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,110.0,3.43,0.88,game|magic board game|fantasy|Robin Williams,Adventure|Children|Fantasy|game|magic board game|fantasy|Robin Williams,0.3323170731707317,0.6511111111111112,0.5554728997289973
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,52.0,3.26,1.05,moldy|old,Comedy|Romance|moldy|old,0.15548780487804878,0.6133333333333333,0.4759796747967479
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,7.0,2.36,0.85,,Comedy|Drama|Romance|,0.018292682926829267,0.41333333333333333,0.2948211382113821
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,49.0,3.07,0.91,pregnancy|remake,Comedy|pregnancy|remake,0.14634146341463414,0.5711111111111111,0.443680216802168
6,Heat (1995),Action|Crime|Thriller,Heat,102.0,3.95,0.82,,Action|Crime|Thriller|,0.3079268292682927,0.7666666666666667,0.6290447154471545
7,Sabrina (1995),Comedy|Romance,Sabrina,54.0,3.19,0.98,remake,Comedy|Romance|remake,0.16158536585365854,0.5977777777777777,0.46692005420054195
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,8.0,2.88,1.13,,Adventure|Children|,0.021341463414634148,0.5288888888888889,0.3766246612466124
9,Sudden Death (1995),Action,Sudden Death,16.0,3.12,0.97,,Action|,0.04573170731707317,0.5822222222222222,0.42127506775067747
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,132.0,3.5,0.86,,Action|Adventure|Thriller|,0.39939024390243905,0.6666666666666666,0.5864837398373983
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",70.0,3.67,0.9,president|politics,Comedy|Drama|Romance|president|politics,0.21036585365853658,0.7044444444444444,0.556220867208672
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,19.0,2.42,1.25,,Comedy|Horror|,0.054878048780487805,0.42666666666666664,0.315130081300813
13,Balto (1995),Adventure|Animation|Children,Balto,8.0,3.12,0.64,,Adventure|Animation|Children|,0.021341463414634148,0.5822222222222222,0.41395799457994575
14,Nixon (1995),Drama,Nixon,18.0,3.83,0.71,president|politics,Drama|president|politics,0.051829268292682924,0.74,0.5335487804878049
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,13.0,3.0,1.21,,Action|Adventure|Romance|,0.036585365853658534,0.5555555555555556,0.39986449864498647
16,Casino (1995),Crime|Drama,Casino,82.0,3.93,0.89,Mafia,Crime|Drama|Mafia,0.24695121951219512,0.7622222222222222,0.6076409214092141
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,67.0,3.78,1.15,Jane Austen,Drama|Romance|Jane Austen,0.20121951219512196,0.7288888888888888,0.5705880758807587
